name,year,score,num
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
肖申克的救赎,1994,9.7,3203075
霸王别姬,1993,9.6,2364316
泰坦尼克号,1997,9.5,2431985
阿甘正传,1994,9.5,2376176
千与千寻,2001,9.4,2473990
美丽人生,1997,9.5,1448360
这个杀手不太冷,1994,9.4,2501651
星际穿越,2014,9.4,2109884
盗梦空间,2010,9.4,2271137
楚门的世界,1998,9.4,1957413
辛德勒的名单,1993,9.5,1221635
忠犬八公的故事,2009,9.4,1512135
海上钢琴师,1998,9.3,1839774
三傻大闹宝莱坞,2009,9.2,2031725
疯狂动物城,2016,9.2,2200028
放牛班的春天,2004,9.3,1441101
机器人总动员,2008,9.3,1451530
无间道,2002,9.3,1523970
控方证人,1957,9.6,680800
大话西游之大圣娶亲,1995,9.2,1673427
熔炉,2011,9.3,1015875
触不可及,2011,9.3,1259879
寻梦环游记,2017,9.1,1917208
教父,1972,9.3,1076019
当幸福来敲门,2006,9.1,1653262
